AGE_GROUP,PERP_SEX,PERP_RACE,ARREST_YEAR,ARREST_BORO,PD_DESC
18-24,F,HISPANIC,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
65+,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
18-24,F,ASIAN,2024,Q,PROSTITUTION
18-24,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,WHITE,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,M,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2024,Q,PROSTITUTION
45-64,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,ASIAN,2024,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
18-24,F,BLACK,2023,Q,PROSTITUTION
18-24,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
18-24,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
18-24,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
18-24,F,HISPANIC,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,HISPANIC,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
45-64,F,ASIAN,2023,Q,PROSTITUTION
25-44,F,ASIAN,2023,Q,PROSTITUTION
